State,INST,ACYC,PhysIPC,PhysIPC%,INSTnom,INSTnom%,Proc Energy (Joules),IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,TEMP
0,21.4,30.8,0.694,17.4,0.00178,0.0445,0.701,0.694,0.00257,0.424,0.0546,0.119,0.531,0.428,0.00255,0.00556,0.58,64
0,9.35,18.1,0.516,12.9,0.000779,0.0195,0.655,0.516,0.00151,0.331,0.0417,0.0849,0.459,0.376,0.00446,0.00908,0.546,64
0,5.5,11.2,0.492,12.3,0.000458,0.0115,0.616,0.492,0.000931,0.354,0.0263,0.0532,0.489,0.396,0.00479,0.00966,0.533,65
0,30.2,43.7,0.691,17.3,0.00251,0.0629,1.15,0.691,0.00364,0.529,0.0581,0.149,0.594,0.401,0.00192,0.00495,0.558,65
0,8.61,13.7,0.629,15.7,0.000718,0.0179,0.63,0.629,0.00114,0.325,0.0303,0.0604,0.482,0.371,0.00352,0.00702,0.539,65
0,3.46,7.74,0.447,11.2,0.000288,0.0072,0.694,0.447,0.000645,0.322,0.0181,0.0361,0.481,0.348,0.00524,0.0105,0.521,64
0,5.8,11.6,0.498,12.4,0.000483,0.0121,0.618,0.498,0.00097,0.353,0.0271,0.0598,0.532,0.383,0.00468,0.0103,0.536,64
0,5.9,11.8,0.499,12.5,0.000492,0.0123,0.621,0.499,0.000986,0.34,0.0297,0.0598,0.494,0.386,0.00503,0.0101,0.537,64
0,3.38,7.07,0.477,11.9,0.000281,0.00703,0.623,0.477,0.000589,0.349,0.015,0.0323,0.518,0.378,0.00445,0.00958,0.52,64
0,7.74,13.8,0.562,14,0.000645,0.0161,0.627,0.562,0.00115,0.362,0.0355,0.064,0.434,0.379,0.00458,0.00827,0.541,64
0,5.51,11.5,0.481,12,0.00046,0.0115,0.607,0.481,0.000956,0.386,0.0276,0.0547,0.485,0.391,0.00501,0.00993,0.536,65
0,26.4,33.4,0.79,19.8,0.0022,0.055,0.655,0.79,0.00278,0.391,0.0326,0.115,0.696,0.407,0.00123,0.00433,0.521,64
0,1.69,4.51,0.375,9.38,0.000141,0.00353,0.587,0.375,0.000376,0.361,0.0126,0.0201,0.348,0.268,0.00742,0.0119,0.508,64
0,2.2,4.1,0.537,13.4,0.000184,0.00459,0.593,0.537,0.000342,0.325,0.0113,0.0155,0.241,0.295,0.00515,0.00705,0.506,65
0,1.54,4.68,0.328,8.2,0.000128,0.0032,0.889,0.328,0.00039,0.338,0.0132,0.0197,0.29,0.213,0.0086,0.0128,0.507,64
0,1.14,2.78,0.411,10.3,0.0000953,0.00238,1.45,0.411,0.000232,0.394,0.00446,0.0122,0.591,0.276,0.0039,0.0107,0.502,63
0,1.05,2.71,0.388,9.7,0.0000878,0.00219,0.936,0.388,0.000226,0.381,0.00645,0.0105,0.334,0.224,0.00612,0.00995,0.504,64
